# 东亚四季场景 — 18城×4季=72条
# 格式: [城市|季节] 描述
# 规则: 无"很/非常/十分/巨大/美丽"，短句，第二人称，现在时，体感，时间流动

[北海道|秋] 大雪山的岳桦变黄了，山坡像被泼了颜料。你走在层云峡的步道上，脚下是厚厚的落叶。溪水凉得刺骨，你用手掬了一把，又放下了。

[北海道|冬] 札幌的雪厚到膝盖。你走在薄野的街上，雪从屋檐掉下来，砸在你脚边。拉面横丁的热气从门缝里漏出来。你的睫毛结了霜。

[首尔|春] 汝矣岛的樱花隧道挤满了人。你走在花瓣铺成的路上，脚下软绵绵。汉江的风吹过来，带着水汽。有人在草地上铺了毯子，打开了一盒紫菜包饭。

[首尔|夏] 光化门广场的地面反射着热气。你走进景福宫，石阶烫脚。空气湿重，汗从后颈流下来。远处传来鼓声，是守门将换岗仪式。

[首尔|秋] 北村韩屋的银杏树叶子落了满地。你走在石阶上，枫叶从墙头伸出来。空气冷了，你闻到糖炒栗子的味道。有人在巷子里拍照，快门声咔嚓咔嚓。

[首尔|冬] 南山塔在雪里只露出一个尖。你走在明洞的街上，风从巷口灌进来，脸像被刀割。路边摊的鱼饼汤冒着热气，你停下来，用纸杯接了一杯。手暖了。

[北京|春] 沙尘暴刚过，故宫的红墙上落了一层细沙。你走在筒子河边，柳枝刚冒出嫩芽。风还冷，你把领子立起来。天空灰蒙蒙的，太阳像一个蛋黄。

[北京|夏] 知了在国槐上叫得撕心裂肺。你走在后海的柳荫下，石板路烫脚。冰镇酸梅汤的杯子外面全是水珠。远处有人在荷花池边下棋，棋子啪地落在棋盘上。

[北京|秋] 香山的红叶还没有全红，半山青半山红。你走在银杏大道上，落叶被风卷起来，像金色的漩涡。空气干燥，你的鼻腔有点疼。故宫的角楼在夕阳里变成了剪影。

[北京|冬] 什刹海结了冰，有人在上面滑冰。你走在胡同里，风从北边来，吹得耳朵疼。烤红薯的炉子冒着白烟，甜味飘过来。你搓了搓手，哈了一口气。

[上海|春] 外滩的风带着潮气吹过来。你走在南京路上，梧桐树刚抽出新叶。雨说来就来，你躲进路边的咖啡馆。窗玻璃上全是水珠，外面的人在跑。

[上海|夏] 梅雨季的空气能拧出水来。你走在弄堂里，衣服贴在背上。空调外机滴水，滴在你头顶。有人在阳台上收衣服，竹竿伸出来，差点碰到你。

[上海|秋] 武康路的梧桐叶黄了，落叶铺满人行道。你走在树荫下，阳光从叶缝里漏下来，在地上画出光斑。风凉了，你裹紧了风衣。有人在路边拍落叶。

[上海|冬] 南京路的霓虹灯在雨里化开了，颜色糊成一片。你走在湿漉漉的石板路上，风从黄浦江吹来，刺骨。小笼包的蒸汽从笼屉里冒出来，你用筷子夹起来，先咬一个小口。

[重庆|春] 嘉陵江的雾还没有散，你走在南滨路上，对岸的高楼在雾里若隐若现。黄桷树冒出新芽，嫩绿的。空气潮湿，你的头发卷了。路边有人在卖豌豆尖，绿油油的一把。

[重庆|夏] 地面温度四十度，你走在解放碑的天桥上，鞋底发软。防空洞里有人在打麻将，凉气从洞口冒出来。火锅店的辣椒味飘了半条街，你还没进门就开始出汗。

[重庆|秋] 南山的银杏黄了，你走在步道上，落叶铺了一地。雾散了，能看见对岸的洪崖洞。空气凉了，你闻到桂花的味道。有人在路边烤红薯，焦香飘过来。

[重庆|冬] 雾又回来了，你走在磁器口的石板路上，能见度不到二十米。江风从嘉陵江灌进来，冷得你缩脖子。火锅店的红油翻滚着，你夹起一片毛肚，七上八下。

[成都|春] 人民公园的茶馆坐满了人。你端着盖碗茶，竹椅嘎吱响。海棠花开了，花瓣掉在茶碗里。有人在旁边掏耳朵，铁签子叮当响。

[成都|夏] 空气闷热，你走在锦里的人群里，汗从额头流下来。变脸的演员在台上甩了一下袖子，脸换了一张。旁边有人在吃冰粉，红糖水顺着碗边流下来。

[成都|秋] 银杏路的叶子黄了，你走在树下，落叶被风吹起来，打着旋。空气里有桂花的甜味。有人在路边卖糖油果子，油锅里滋滋响。你买了一串，咬一口，烫嘴。

[成都|冬] 雾蒙蒙的天，你走在宽窄巷子里，石板路湿滑。火锅店的红油锅底咕嘟咕嘟冒泡，你夹起一片鸭肠，卷起来。手边的茶凉了，你叫伙计续水。远处有人在唱川剧。

[西安|春] 城墙根的柳树冒了新芽，护城河的冰化了。你走在环城公园里，有人在放风筝，线绷得紧紧的。空气里有土腥味，是从秦岭那边吹来的风。

[西安|夏] 大雁塔广场的地面烤得发烫。你走在回民街里，烤肉的烟熏得眼睛疼。冰峰汽水的瓶盖啪地打开，气泡涌上来。你的背心湿透了，贴在后背上。

[西安|秋] 银杏大道的叶子铺了一地金黄。你走在大慈恩寺的院子里，踩着落叶，脚底沙沙响。空气冷了，你把手揣进口袋。钟楼在夕阳里变成了金色。

[西安|冬] 城墙上积了薄雪，你走在上面，脚下嘎吱响。护城河结了冰，有人在冰面上走。风从城墙的豁口灌进来，吹得你睁不开眼。路边有卖羊肉泡馍的，热气腾腾。

[拉萨|春] 布达拉宫的金顶在阳光下刺眼。你走在八廓街上，转经的人从你身边走过，念珠在手指间滑动。空气干燥，嘴唇裂了。桃花开了，粉白的一树，在蓝天下显得不真实。

[拉萨|夏] 太阳直直地晒下来，影子缩在脚下。你走在大昭寺广场上，地面烫脚。酥油灯的味道从门缝里飘出来。有人在磕长头，额头碰到石板上，发出沉闷的声响。

[拉萨|秋] 天空蓝得发紫，云低得好像伸手就能摸到。你走在色拉寺的后山上，草黄了，风吹过来带着干草的味道。远处的雪山在阳光下闪着光。

[拉萨|冬] 夜里冷到零下十度，你呼出的气立刻结成白雾。白天的阳光照在身上暖的，背阴处却是冰。八廓街的甜茶馆里挤满了人，你坐下来，一杯甜茶暖了手。

[大理|春] 苍山上的雪化了一半，溪水涨了。你走在古城的石板路上，樱花开了，粉白的一片。空气里有花香和泥土的味道。有人在洱海边弹吉他，歌声飘过来。

[大理|夏] 雨说来就来，你走在古城里，豆大的雨点砸在石板上。五分钟后雨停了，太阳出来，地面冒着蒸汽。洱海的水面平静得像镜子。有人在卖乳扇，奶香飘过来。

[大理|秋] 稻田黄了，你走在喜洲的田埂上，稻穗弯着腰。苍山的云低低地压着山顶。空气凉了，你裹紧了披肩。有人在路边烤饵块，焦香飘过来。

[大理|冬] 苍山顶上全是雪，洱海的水面灰蒙蒙的。你走在古城里，阳光照在身上暖和，背阴处冷得发抖。有人在院子里晒太阳，旁边卧着一条狗。远处传来白族调子，拖得老长。

[喀什|春] 老城的土墙在阳光下泛着金光。你走在吾斯塘博依巷子里，铜器店的锤子叮叮当当。杏花开了，从土墙里伸出来。空气干燥，你的嘴唇裂了。

[喀什|夏] 太阳从早上六点晒到晚上十点。你走在高台民居的土路上，脚底烫得跳。有人在卖石榴汁，红得像血。馕坑里的馕鼓起来了，热气扑面。

[喀什|秋] 葡萄架上挂满了无核白葡萄，你摘了一颗，甜得齁嗓子。你走在老城的巷子里，葡萄藤的影子在地上画出格子。空气凉了，有人在路边晒核桃，堆成了小山。

[喀什|冬] 雪落在老城的土墙上，白色和土黄色混在一起。你走在艾提尕尔清真寺前的广场上，冷风从北边灌进来。有人在卖烤包子，油从面皮里渗出来。你咬一口，烫嘴。

[敦煌|春] 沙尘暴来了，你走在鸣沙山的脚下，风把沙子吹起来，打在脸上，疼。月牙泉的水浅了，芦苇刚冒出绿芽。天是黄的，太阳只有一个模糊的光圈。

[敦煌|夏] 沙子烫得你不敢光脚。你爬上鸣沙山顶，风把沙子吹成波纹。月牙泉在脚下，绿得不真实。太阳落下去的时候，沙子从金色变成玫瑰色。

[敦煌|秋] 游客少了，你走在莫高窟的栈道上，风从戈壁吹来，带着干燥的土味。胡杨叶子黄了，金灿灿的一片。空气冷了，你把手揣进兜里。

[敦煌|冬] 鸣沙山的沙子冻硬了，你踩上去不留脚印。月牙泉结了薄冰，芦苇枯成一片褐色。天蓝得发冷，没有一片云。你呼出的气在空气中散开，像一小团雾。

[哈尔滨|春] 冰雪大世界拆了，工地上堆着碎冰。你走在中央大街上，面包石路面被春雨冲得发亮。丁香花开了，紫色的一簇一簇，香味浓得呛人。松花江的冰排开始裂，咔嚓咔嚓地响。

[哈尔滨|夏] 太阳岛上的树荫下总算凉快了一些。你走在松花江边的栈道上，江风吹过来，带着水腥味。有人在江里游泳，皮肤晒得黝红。路边有人在卖马迭尔冰棍，奶味的，咬一口凉到脑门。

[哈尔滨|秋] 太阳岛的树叶黄了，风一吹落叶铺了满地。你走在果戈里大街上，俄式建筑在秋阳里显得柔和。空气干冷了，你裹紧了外套。有人在路边卖糖葫芦，山楂外面裹了一层硬糖壳。

[哈尔滨|冬] 零下三十度，你呼出的气变成白色的粉末。松花江冻透了，上面跑着马车。你走在中央大街上，脚底嘎吱嘎吱响。索菲亚教堂的穹顶积了雪，鸽子缩在檐下不肯出来。你把手揣在兜里，指尖还是冷的。

[乌兰巴托|春] 雪化了，城市露出了灰扑扑的颜色。你走在成吉思汗广场上，风从草原吹来，带着牛粪的味道。柳树冒了芽，嫩黄的。有人在路边卖马奶酒，酸涩的。

[乌兰巴托|夏] 草原绿到天边，你坐在城外的山坡上，风带着草香吹过来。天上的云压着头顶，影子在草地上移动。有人在摔跤，皮肤被太阳晒成古铜色。

[乌兰巴托|秋] 草黄了，风从北边来，冷了。你走在苏赫巴托尔广场上，落叶被风卷起来。远处的博格达山在夕阳里变成了紫色。有人在烤羊肉，烟从毡房里飘出来。

[乌兰巴托|冬] 零下四十度，你呼出的气立刻变成冰晶。走在苏赫巴托尔广场上，睫毛结了霜。城市上空笼罩着一层煤烟，是从暖气烟囱里冒出来的。你缩着脖子，耳朵冻得发麻。

[河内|春] 空气潮湿，你走在还剑湖边，雾气从湖面升起来。桃花开了，粉红的一树。有人在湖边打太极，动作慢得像水。你的后背出了一层薄汗。

[河内|夏] 暴雨来了，你躲进街边的棚子，雨点砸在铁皮棚顶上，像打鼓。五分钟后雨停了，地面冒着热气。摩托车从水坑里开过去，溅了你一身水。

[河内|秋] 还剑湖的水面平静，倒映着岸边的树。你走在老城区的巷子里，空气凉了一些。有人在路边卖河粉，汤锅里冒着白气。你坐下来，挤了点青柠汁进去。

[河内|冬] 湿冷的空气钻进骨头里。你走在三十六行街上，风从红河吹来，带着水汽。有人在路边卖烤红薯，焦香飘过来。你买了一个，揣在兜里暖手。

[曼谷|春] 空气黏在皮肤上，你走在考山路上，汗从额头流下来。寺庙的金顶在阳光下闪着光。有人在路边卖芒果糯米饭，椰浆浇在上面，甜腻的味道飘过来。

[曼谷|夏] 暴雨从天上倒下来，你站在711门口，看着湄南河方向的乌云。排水沟满了，水漫到脚踝。雨停后，空气更闷了。你的衣服一直没干过。

[曼谷|秋] 寺庙的钟声响了，你走在卧佛寺的院子里，脚底是温热的石板。菩提树的叶子纹丝不动。空气闷热，你走进旁边的按摩店，风扇吹在身上，汗才开始干。

[曼谷|冬] 是曼谷最凉的时候，你走在湄南河边，风从河面吹来，带着腥味。晚上出来不用开空调了。路边摊的冬阴功汤冒着红油，你喝了一口，辣得吸气。

[瓦拉纳西|春] 恒河的水位低，台阶一直延伸到河里。你走在达萨瓦梅朵河坛上，有人在晨浴，水花溅起来。空气里有焚香和牛粪的味道。花环挂在栏杆上，颜色鲜艳。

[瓦拉纳西|夏] 四十五度，你走在老城的巷子里，热浪从地面升起来。恒河的水面反射着阳光，刺眼。有人在河边的台阶上冥想，汗水从额头流下来，滴在石板上。

[瓦拉纳西|秋] 排灯节的夜晚，河坛上点满了油灯，恒河的水面漂着花灯。你走在台阶上，脚底是温热的石头。有人在放烟花，爆炸声在河面上回荡。空气里有火药和酥油的味道。

[瓦拉纳西|冬] 雾从恒河上升起来，你走在河坛上，能见度不到十米。有人在晨浴，冷得发抖，但还是走进了水里。空气里有焚尸的味道，从马尼卡尼卡河坛飘过来。你裹紧了围巾。

[那霸|春] 寒绯樱开了，桃红色的花瓣挂在枝头，比本土樱花早了两个月。你走在首里城的石阶上，海风从远处吹来，带着咸味和淡淡的海藻气息。空气温润，你脱了外套搭在手臂上。有人在路边喝泡盛，杯子里的冰块碰着杯壁叮当响。

[那霸|夏] 太阳直直地砸下来，你走在国际通的遮阳棚下，汗水顺着下巴滴进锁骨。台风季的风从海上过来，把路边的旗帜吹得猎猎响。路边摊的サーターアンダギー冒着热气，你咬一口，外脆内软。远处有人在吃 Blue Seal 冰淇淋，舌头冻得有点麻。

[那霸|秋] 十月的冲绳还在穿短袖。你走在波之上海滩的栈道上，海水是透明的蓝色，浪花打在石堤上。残暑未消，你把毛巾搭在肩上。有人在海里游泳，皮肤晒得发红，海水顺着头发滴下来。傍晚的风带着一丝凉。

[那霸|冬] 旱季来了，气温降到十八度，阳光暖暖的。你走在牧志的市场里，摊主用刀削着苦瓜，刀背敲着砧板。有人在路边卖红薯，热气从纸袋里冒出来，你捧在手里暖手。远处的海面蓝得发亮。

[名古屋|春] 鹤舞公园的樱花开了，粉白的一片，风吹过来，花瓣贴在手背上。你坐在长椅上，空气微凉，手揣进口袋又拿出来。远处有人在卖味噌炸猪排，酱香飘过来，肚子咕噜叫了一声。

[名古屋|夏] 热岛效应让城市更热了，地面的热气反射上来。你走在荣的地下街里，冷气从四面八方来。出地铁口的那一刻，眼镜立刻起雾。远处的名古屋城在热浪里有点变形，像水中的倒影。

[名古屋|秋] 香岚溪的枫叶红了，你走在步道上，落叶被风卷起来打在脚踝上。空气干燥，嘴唇有点紧。有人在路边卖五平饼，味噌的香味飘过来，焦焦的。远处的山谷层层叠叠，颜色深浅不一。

[名古屋|冬] 冷风从伊势湾吹来，你走在名古屋站前的地下通道里，手里的咖啡还是热的。出站那一刻，风灌进领子，你缩了缩脖子。远处的电视塔在灰蒙蒙的天里露着尖。

[福冈|春] 舞鹤公园的樱花开了，粉白的一树倒映在护城河里。你走在河边的步道上，风从博多湾吹来，带着水汽。有人在草地上铺了野餐垫，明太子面包的味道飘过来。

[福冈|夏] 闷热的空气贴在皮肤上，你走在大濠公园的林荫道上。蝉声从树顶传下来，响成一片。远处有人在划船，桨声划过水面，留下一道波纹。傍晚的雷阵雨说来就来，豆大的雨点砸在伞面上。

[福冈|秋] 太宰府的枫叶红了，你走在天满宫的参道上，落叶铺了一地，踩上去沙沙响。空气凉了，你把手缩进袖子里。有人在卖梅ヶ枝饼，面皮烤得焦黄，豆沙的甜味飘出来。

[福冈|冬] 暖冬的日子气温还有十二度，你走在中洲的屋台街，热气从帐篷里飘出来。味噌煮込み的锅在咕嘟冒泡，萝卜在汤里翻滚。你坐下来，端起一杯热清酒，酒香钻进鼻子。

[仙台|春] 四月还有残雪堆积在路边的草丛里，定禅寺通的樱花要到五月初才开。你走在青叶通的林荫道上，风还冷。烤牛舌的味道从巷子里飘出来，你的肚子咕噜叫了一声。

[仙台|夏] 短暂的夏天，湿度上来了。你走在七夕祭的商店街，笹竹上挂满了纸短册，五颜六色的。汗从后背流下来，衬衫贴住皮肤。远处有人在敲太鼓，鼓声震着空气，咚咚咚。

[仙台|秋] 松岛湾的枫叶红了，你坐在渡船上，海风吹得脸凉。空气干燥了，海鸥在船尾盘旋，发出嘎嘎的叫声。有人在甲板上吃牡蛎，壳一撬开，汁水滴在甲板上。

[仙台|冬] 藏王山上的树挂白了，你走在市区的小巷里，脚下有薄冰，踩上去咔嚓响。风从藏王那边灌过来，耳朵冻得发红。牛タン煮込み的锅在炉子上冒着热气，你夹起一片放进嘴里，肉软得化开。

[天津|春] 海河的风还带着寒意，你走在意式风情区的街道上，柳树刚冒出嫩芽。有人在广场上放风筝，线在你头顶嗡嗡响。空气干燥，你抿了抿嘴唇。

[天津|夏] 蝉鸣从法国梧桐的树冠上传下来，一声接一声。你走在五大道的老房子下，爬山虎绿得发亮，爬满了红砖墙。汗顺着脖子流下来，衬衫湿透了。有人在卖嘎巴菜，蒸汽从锅里冒出来。

[天津|秋] 银杏叶黄了，你走在解放北路的林荫道上，落叶被风卷起来，落在你肩上。空气凉了，你裹紧了风衣。远处有人在卖糖炒栗子，铲子在锅里翻得叮当响，糖香飘过来。

[天津|冬] 海河结了薄冰，你走在天津之眼的桥下，呼出的气变成白雾。耳朵冻得发疼，你用围巾裹住。煎饼果子的鏊子冒着热气，鸡蛋在面糊上滋滋响，摊主的手翻得飞快。

[苏州|春] 拙政园的玉兰开了，白色的花瓣落在青瓦上。你走在平江路的巷子里，河水从桥下流过，船娘的桨声在水巷里回荡。空气潮湿，你的头发有点卷。有人在河边卖青团，艾草的味道飘过来。

[苏州|夏] 闷热从水巷里升起来，你走在观前街的屋檐下。汗从后背一直流。有人在茶馆里剥莲蓬，手指点着绿绿的壳，莲子滚出来。远处有人在唱评弹，琵琶声从窗户里漏出来，叮叮咚咚。

[苏州|秋] 留园的金桂开了，你走在园子里，香味钻进鼻子，甜腻腻的。空气凉了，你把手缩进袖子。落叶从假山上飘下来，落在池塘里，荡起一圈涟漪。远处有人在煮大闸蟹，蒸汽冒起来。

[苏州|冬] 湿冷的空气钻进骨头里，你走在山塘街的石板路上。河水在桥下缓缓流。手缩在袖子里，还是冷。有人在卖糖粥，红豆的香气从锅里飘出来，甜丝丝的。

[厦门|春] 鼓浪屿的凤凰花刚抽出新芽，你走在巷子里，空气温润。海风从海边吹来，带着咸味和鱼腥味。有人在路边卖春卷，皮薄得透光，能看见里面的馅料。远处有人在弹钢琴，声音从老房子里漏出来。

[厦门|夏] 台风从太平洋过来，你走在中山路的骑楼下，雨水打在头顶的铁皮上，哗哗响。风一阵一阵的，雨伞翻了，你索性收起来。路边店的招牌在风里摇晃。雨停后，地面还冒着热气。

[厦门|秋] 十月的厦门终于凉了一点。你走在环岛路的海边栈道上，海风从东边吹来，带着咸味。有人在海里游泳，皮肤晒得黝红。椰树的影子在地上晃动，海水拍打着岸边的礁石。

[厦门|冬] 暖冬的日子气温还有十六度，阳光暖暖的。你走在沙坡尾的避风坞里，渔船停在水中，船身在轻轻摇晃。有人在路边卖面线糊，汤锅冒着白气。你坐下来喝了一口，胡椒味呛了嗓子，眼眶有点发热。





























[仰光|春] 三月的仰光热起来了，你走在Shwedagon的台阶上，石砖被阳光晒得发烫。空气里有茉莉花和焚香的味道，从寺庙的供桌上飘来。你赤脚走在大理石地面上，凉的。

[仰光|夏] 季风来了，暴雨午后砸下来。你站在Sule Pagoda的走廊里，雨水从屋檐流成线。十五分钟后雨停了，地面冒着蒸汽。你买了一杯laphet tea，加了炼乳，甜得齁嗓子。

[仰光|秋] 十月的雨少了，你走在Bogyoke Market里，宝石摊上摆着红宝石和蓝宝石。空气里有thanaka的味道，木香粉涂在脸上凉凉的。你买了一盘mohinga，鱼汤米粉，酸辣的。

[仰光|冬] 十二月的仰光凉快了，你走在Kandawgyi湖边，木板栈道在脚下嘎吱响。金塔在夕阳里发着光，倒映在湖面上。你买了一杯棕榈糖奶茶，温热的，甜丝丝的。

[喀土穆|春] 三月的喀土穆干热，你走在尼罗河边，阳光直直地砸下来。空气里有沙尘的味道，从撒哈拉吹过来。你买了一杯hibiscus tea，红色的，冰凉的，酸甜的。

[喀土穆|夏] 七月的热浪把城市烤软了，你走在街上，鞋底发软。温度超过四十度，空气干得嘴唇裂了。你躲进一家tea shop，风扇吹下来全是热风，但至少有阴凉。

[喀土穆|秋] 十月的热气退了一些，你走在Tuti Island的桥上，尼罗河的水是蓝的。你买了一块foul，蚕豆泥配面包，咸的。空气里有烤肉的味道，从远处的摊位飘来。

[喀土穆|冬] 一月的白天暖和，夜里降到十度。你走在Omdurman的市场里，香料的味道把你裹住——小茴香、辣椒、姜黄。你买了一杯karkade，热的，酸甜的，杯子烫手。

[基多|春] 十月的雨季来了，下午三点准时下暴雨。你站在旧城区的屋檐下，雨水从瓦片上流成线。十五分钟后天晴了，安第斯山在夕阳里发红，空气里是湿石头的味道。

[基多|夏] 一月的基多不下雨，阳光照在赤道纪念碑上，你的影子缩到脚下。海拔两千八百米，你走几步就喘。你买了一杯mora汁，黑莓的，酸得你眯眼。

[基多|秋] 四月的雨少了，你走在La Ronda的小巷里，空气凉丝丝的。有人在路边卖empanada，芝士的香味飘过来。远处的Pichincha火山在云里若隐若现。

[基多|冬] 七月的基多不冷，但雨多。你走在Plaza Grande上，安第斯的风吹过来，凉的。你推开一家咖啡馆的门，orchata端上来，肉桂的味道冲进鼻腔。

[塔什干|春] 四月的塔什干回暖了，你走在Amir Timur广场上，栗树开了花。空气里有烤馕的味道，从远处的tandoor飘来。你买了一串shashlik，炭火烤的羊肉，油滴在炭上滋滋响。

[塔什干|夏] 七月的热浪从地面升上来，你走在Chorsu Bazaar的圆顶下面，人挤人，汗味和香料味混在一起。你买了一杯ayran，酸奶饮料，咸的，冰凉的，一口下去从嗓子凉到胃里。

[塔什干|秋] 十月的树叶变成金色，你走在Navoi公园里，落叶铺了一地。空气干冷，鼻腔有点刺痛。你买了一盘plov，抓饭里有胡萝卜和鹰嘴豆，油亮亮的，孜然味飘过来。

[塔什干|冬] 一月的雪落在老城的清真寺上，你走在街上，靴子踩在雪里嘎吱响。你走进一家chaikhana，热茶端上来，加了方糖，甜的。窗户上的水汽慢慢凝成水珠。

[大马士革|春] 四月的大马士革回暖了，你走在老城的石板路上，杏花从墙头伸出来。空气里有jasmine的味道，从哪个庭院飘出来的，你没找到。你买了一杯jallab，葡萄干和玫瑰水，甜的。

[大马士革|夏] 七月的热浪从地面升上来，你走在Hamidiyeh Bazaar的拱顶下面，阳光从缝隙里漏进来，照在铜器上闪着光。你买了一杯sahlab，热的，肉桂粉撒在上面。

[大马士革|秋] 十月的树叶变成金色，你走在Qasioun山脚下的果园里，石榴红了。空气里有橄榄和烤肉的味道。你买了一盘kibbeh，碎肉和麦粒，炸得外脆内软。

[大马士革|冬] 一月的雪落在Umayyad清真寺的庭院里，你走在街上，呼出的气是白的。你走进一家hammam，蒸汽扑在脸上，橄榄皂的味道冲进鼻腔。出来的时候天已经黑了，路灯在雪里发着暖光。

[安曼|春] 四月的安曼回暖了，你走上城堡山的台阶，野花从石缝里钻出来。空气里有橙花的味道，从山下的花园飘来。远处的白色建筑在阳光下发亮，一层一层叠在山坡上。

[安曼|夏] 七月的热浪从沙漠吹过来，你走在Rainbow Street上，阳光直直地砸下来。你躲进一家falafel店，油锅里滋滋响。你买了一杯limonana，薄荷柠檬，冰凉的，一口气喝了半杯。

[安曼|秋] 十月的白天还是热，但早晚有了凉意。你走在Roman Theatre的石阶上，落叶被风吹到脚边。空气里有咖啡和cardamom的味道，从街边的咖啡馆飘来。

[安曼|冬] 一月的雨下了一夜，你早上走在Downtown的石板路上，地面反着天光。你走进一家kunafa店，cheese拉丝拉得老长，糖浆浇上去滋滋响。窗外的安曼山在薄雾里。

[巴库|春] 四月的巴库回暖了，你走在Icherisheher老城的石板路上，风从里海吹过来。空气里有烤馕和藏红花的味道。火焰塔在阳光下闪着玻璃的光，远处的里海是灰蓝色的。

[巴库|夏] 七月的热浪从里海吹过来，你走在海滨大道上，阳光把石板路烤得发烫。你买了一杯ayran，咸的酸奶，冰凉的。远处的Maiden Tower在热气里微微晃动。

[巴库|秋] 十月的树叶变成金色，你走在Yanar Dag的火焰山旁边，天然气的火苗从岩缝里冒出来，不灭。空气里有硫磺味。你买了一盘plov，抓饭里有杏干和葡萄干，甜咸的。

[巴库|冬] 一月的风从里海灌进来，冷得你缩脖子。你走在Palace of the Shirvanshahs的庭院里，石墙上有霜。你走进一家茶馆，samovar冒着热气，茶是琥珀色的，加了方糖，甜的。

[德黑兰|春] 四月的德黑兰回暖了，你走在Valiasr街的林荫道上，梧桐树冒出新芽。空气里有橙花的味道，从路边的花园飘来。远处的Alborz山还有积雪，在蓝天下发白。

[德黑兰|夏] 七月的热浪从沙漠吹过来，你走在Grand Bazaar的拱顶下面，人挤人，汗味和香料味混在一起。你买了一杯doogh，薄荷酸奶，咸的，气泡在舌尖跳。

[德黑兰|秋] 十月的树叶变成金色，你走在Darband的山路上，落叶铺了一层。空气干冷，鼻腔有点刺痛。你买了一盘ghormeh sabzi，香草炖肉，酸的，加了干柠檬。

[德黑兰|冬] 一月的雪落在Alborz山上，你走在Azadi广场上，呼出的气是白的。你走进一家kebab店，炭火烤的羊肉串冒着烟，藏红花米饭是金黄色的，一粒粒的。

[撒马尔罕|春] 四月的撒马尔罕回暖了，你走过Registan广场，蓝色的瓷砖在阳光下发亮。空气里有烤馕的味道，从远处的tandoor飘来。你买了一串shashlik，炭火烤的羊肉，油滴在炭上滋滋响。

[撒马尔罕|夏] 七月的热浪从沙漠吹过来，你走在Shah-i-Zinda的陵墓群里，蓝色的穹顶在蓝天下更蓝了。空气干热，你买了一杯kumiss，发酵的马奶，酸的，气泡在舌尖跳。

[撒马尔罕|秋] 十月的树叶变成金色，你走在Bibi-Khanym清真寺的废墟前，石柱在夕阳里投下长影子。空气里有石榴和葡萄的味道，从市集飘来。你买了一盘plov，抓饭里有胡萝卜和鹰嘴豆。

[撒马尔罕|冬] 一月的雪落在Registan广场上，蓝色的瓷砖被雪盖住了一半。你走在街上，靴子踩在雪里嘎吱响。你走进一家chaikhana，热茶端上来，加了方糖，甜的，杯子烫手。

[突尼斯城|春] 四月的突尼斯城回暖了，你走在Medina的窄巷里，九重葛从墙头垂下来，粉紫色的。空气里有jasmine和橙花的味道。你买了一杯薄荷茶，加了松子，甜的。

[突尼斯城|夏] 七月的热浪从撒哈拉吹过来，你走在Habib Bourguiba大街上，阳光直直地砸下来。你躲进Bardo博物馆里，凉气扑面。mosaic上的罗马士兵在灯光下发着光。

